과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,강의 시간,강의력,확인,시간표,파일명,전체 벡터
고급C++프로그래밍,강종구,AI융합학부,핵심전공,2영역,"[1, 0]","[3, 0, 0]",,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.0,,수/4-6,공과대학_전공_data_2영역_블렌디드.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 3, 0, 0, 1, 0, 0.8]"
고급C++프로그래밍,강종구,정보시스템공학과,핵심전공,2영역,"[1, 0]","[3, 0, 0]",,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.0,,수/4-6,공과대학_전공_data_2영역_블렌디드.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 3, 0, 0, 1, 0, 0.8]"
고급C++프로그래밍,강종구,AI융합학부,핵심전공,2영역,"[1, 0]","[3, 0, 0]",,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.0,,수/7-9,공과대학_전공_data_2영역_블렌디드.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 3, 0, 0, 1, 0, 0.8]"
고급C++프로그래밍,강종구,정보시스템공학과,핵심전공,2영역,"[1, 0]","[3, 0, 0]",,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.0,,수/7-9,공과대학_전공_data_2영역_블렌디드.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 3, 0, 0, 1, 0, 0.8]"
자바프로그래밍,김성민,융합보안공학과,핵심전공,2영역,"[1, 0]","[3, 0, 0]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[1, 0, 0, 0]",1,1.0,,화/4-6,공과대학_전공_data_2영역_블렌디드.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1.0, 3, 0, 0, 1, 0, 1.0]"
자료구조,임연섭,융합보안공학과,핵심전공,2영역,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.0,,월/4-6,공과대학_전공_data_2영역_원격.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0, 3, 0, 1, 0, 0.8]"
운영체제,김준철,서비스디자인공학과,핵심전공,2영역,"[1, 0]","[0, 3, 0]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.5,,월/1-3,공과대학_전공_data_2영역_원격.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.5, 0, 3, 0, 1, 0, 1.0]"
운영체제,김준철,AI융합학부,핵심전공,2영역,"[1, 0]","[0, 3, 0]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.5,,월/1-3,공과대학_전공_data_2영역_원격.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.5, 0, 3, 0, 1, 0, 1.0]"
운영체제,김준철,정보시스템공학과,핵심전공,2영역,"[1, 0]","[0, 3, 0]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.5,,월/1-3,공과대학_전공_data_2영역_원격.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.5, 0, 3, 0, 1, 0, 1.0]"
컴퓨터구조,김준철,AI융합학부,핵심전공,2영역,"[1, 0]","[0, 3, 0]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1.0,,금/7-9,공과대학_전공_data_2영역_원격.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 3, 0, 1, 0, 1.0]"
